Site,Date,Rep,Location,Insect Code,Comon Name,Larva or Adult,Order
1,06-06-2023,1,C,16101,Mayfly,Larva, Ephemeroptera
1,06-06-2023,1,C,16102,Mayfly,Larva, Ephemeroptera
1,06-06-2023,1,C,16103,Mayfly,Larva, Ephemeroptera
1,06-06-2023,1,C,16104,Mayfly,Larva, Ephemeroptera
1,06-06-2023,1,C,16105,Mayfly,Larva, Ephemeroptera
1,06-06-2023,2,C,16201,Water Boatman,Adult,Hemiptera
1,06-06-2023,4,LE,16401,Mayfly,Larva, Ephemeroptera
1,06-06-2023,4,LE,16402,Seed Shrimp,Adult,Podocopida
1,06-07-2023,4,LE,16403,Seed Shrimp,Adult,Podocopida
1,06-06-2023,5,RE,16501,Snail,Adult,Gastropoda
1,06-06-2023,5,RE,16502,Mayfly,Larva, Ephemeroptera
2,06-06-2023,5,RE,16503,Mayfly,Larva, Ephemeroptera
3,06-06-2023,5,RE,16504,Mayfly,Larva, Ephemeroptera
4,06-06-2023,5,RE,16505,Mayfly,Larva, Ephemeroptera
5,06-06-2023,5,RE,16506,Mayfly,Larva, Ephemeroptera
6,06-06-2023,5,RE,16507,Mayfly,Larva, Ephemeroptera
7,06-06-2023,5,RE,16508,Mayfly,Larva, Ephemeroptera
8,06-06-2023,5,RE,16509,Mayfly,Larva, Ephemeroptera
9,06-06-2023,5,RE,16510,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16601,Caddisfly,Larva,Trichoptera
1,06-06-2023,6,RE,16602,Cyclops,Adult,Cyclopoida
1,06-06-2023,6,RE,16603,Midge,Larva,Diptera
1,06-06-2023,6,RE,16604,Watersnipe Fly,Larva,Diptera
1,06-06-2023,6,RE,16605,Riffle Beetle,Adult,Coleoptera
1,06-06-2023,6,RE,16606,Water Mite,Adult,Trombidiformes
1,06-06-2023,6,RE,16607,Crawling Water Beetle,Adult,Coleoptera
1,06-06-2023,6,RE,16608,Seed Shrimp,Adult,Podocopida
1,06-06-2023,6,RE,16609,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16610,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16611,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16612,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16613,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16614,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16615,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16616,Mayfly,Larva, Ephemeroptera
1,06-06-2023,6,RE,16617,Mayfly,Larva, Ephemeroptera
2,06-06-2023,1,C,26101,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26201,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26201,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26203,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26204,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26205,Mayfly,Larva, Ephemeroptera
2,06-06-2023,2,C,26206,Water Boatman,Adult,Hemiptera
2,06-06-2023,3,LE,26301,Mayfly,Larva, Ephemeroptera
2,06-06-2023,3,LE,26302,Mayfly,Larva, Ephemeroptera
2,06-06-2023,4,LE,26401,Midge,Larva,Diptera
2,06-06-2023,4,LE,26402,Midge,Larva,Diptera
2,06-06-2023,4,LE,26403,Alderfly,Larva,Megaloptera
2,06-06-2023,5,RE,26501,Mayfly,Larva, Ephemeroptera
2,06-06-2023,5,RE,26502,Mayfly,Larva, Ephemeroptera
2,06-06-2023,5,RE,26503,Water Boatman,Adult,Hemiptera
2,06-06-2023,6,RE,26601,Mayfly,Larva, Ephemeroptera
2,06-06-2023,6,RE,26602,Mayfly,Larva, Ephemeroptera
2,06-06-2023,6,RE,26603,Midge,Larva,Diptera
1,06-07-2023,1,RE,17101,Water Boatman,Adult,Hemiptera
1,06-07-2023,1,RE,17102,Water Boatman,Adult,Hemiptera
1,06-07-2023,1,RE,17103,Mayfly,Larva, Ephemeroptera
1,06-07-2023,1,RE,17104,Mayfly,Larva, Ephemeroptera
1,06-07-2023,2,RE,17201,Mayfly,Adult, Ephemeroptera
1,06-07-2023,2,RE,17202,Mayfly,Larva, Ephemeroptera
1,06-07-2023,3,C,17301,Mayfly,Larva, Ephemeroptera
1,06-07-2023,3,C,17302,Water Boatman,Adult,Hemiptera
1,06-07-2023,3,C,17303,Midge,Larva,Diptera
1,06-07-2023,3,C,17304,Midge,Larva,Diptera
1,06-07-2023,3,C,17305,Midge,Larva,Diptera
1,06-07-2023,3,C,17306,Caddisfly,Larva,Trichoptera
1,06-07-2023,4,C,17401,Mayfly,Larva, Ephemeroptera
1,06-07-2023,4,C,17402,Water Boatman,Adult,Hemiptera
1,06-07-2023,5,LE,17501,Mayfly,Larva, Ephemeroptera
1,06-07-2023,5,LE,17502,Midge,Larva,Diptera
1,06-07-2023,6,LE,17601,None,NA,NA
2,06-07-2023,1,RE,27101,Mayfly,Larva, Ephemeroptera
2,06-07-2023,1,RE,27102,Cyclops,Adult,Cyclopoida
2,06-07-2023,1,RE,27103,Cyclops,Adult,Cyclopoida
2,06-07-2023,1,RE,27104,Cyclops,Adult,Cyclopoida
2,06-07-2023,2,RE,27201,Mayfly,Larva, Ephemeroptera
2,06-07-2023,2,RE,27202,Mayfly,Larva, Ephemeroptera
2,06-07-2023,2,RE,27203,Mayfly,Larva, Ephemeroptera
2,06-07-2023,2,RE,27204,Caddisfly,Larva,Trichoptera
2,06-07-2023,3,C,27301,Midge,Larva,Diptera
2,06-07-2023,3,C,27302,Mayfly,Larva, Ephemeroptera
2,06-07-2023,3,C,27303,Mayfly,Larva, Ephemeroptera
2,06-07-2023,4,C,27401,Mayfly,Larva, Ephemeroptera
2,06-07-2023,5,LE,27501,Mayfly,Larva, Ephemeroptera
2,06-07-2023,6,LE,27601,Midge,Larva,Diptera
2,06-07-2023,6,LE,27602,Midge,Larva,Diptera
2,06-07-2023,6,LE,27603,Midge,Larva,Diptera
1,06-08-2023,1,LE,18101,Water Boatman,Adult,Hemiptera
1,06-08-2023,2,LE,18201,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18202,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18203,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18204,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18205,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18206,Mayfly,Larva, Ephemeroptera
1,06-08-2023,2,LE,18207,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18301,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18302,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18303,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18304,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18305,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18306,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18307,Mayfly,Larva, Ephemeroptera
1,06-08-2023,3,C,18308,Cyclops,Adult,Cyclopoida
1,06-08-2023,4,C,18401,Mayfly,Larva, Ephemeroptera
1,06-08-2023,4,C,18402,Mayfly,Larva, Ephemeroptera
1,06-08-2023,4,C,18403,Mayfly,Larva, Ephemeroptera
1,06-08-2023,4,C,18404,Mayfly,Larva, Ephemeroptera
1,06-08-2023,4,C,18405,Mayfly,Larva, Ephemeroptera
1,06-08-2023,4,C,18501,Cyclops,Adult,Cyclopoida
1,06-08-2023,5,RE,18502,Mayfly,Larva, Ephemeroptera
1,06-08-2023,6,RE,18601,Mayfly,Larva, Ephemeroptera
2,06-08-2023,1,RE,28102,Mayfly,Larva, Ephemeroptera
2,06-08-2023,1,RE,28103,Mayfly,Larva, Ephemeroptera
2,06-08-2023,1,RE,28104,Mayfly,Larva, Ephemeroptera
2,06-08-2023,1,RE,28105,Mayfly,Larva, Ephemeroptera
2,06-08-2023,1,RE,28106,Midge,Larva,Diptera
2,06-08-2023,1,RE,28107,Midge,Larva,Diptera
2,06-08-2023,1,RE,28108,Midge,Larva,Diptera
2,06-08-2023,1,RE,28109,Midge,Larva,Diptera
2,06-08-2023,1,RE,28110,Cyclops,Adult,Cyclopoida
2,06-08-2023,2,RE,28201,Mayfly,Larva, Ephemeroptera
2,06-08-2023,2,RE,28202,Horsefly,Larva,Diptera
2,06-08-2023,3,C,28301,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28302,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28303,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28304,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28305,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28306,Mayfly,Larva, Ephemeroptera
2,06-08-2023,3,C,28307,Midge,Larva,Diptera
2,06-08-2023,4,C,28401,Caddisfly,Larva,Trichoptera
2,06-08-2023,4,C,28402,Mayfly,Larva, Ephemeroptera
2,06-08-2023,4,C,28403,Midge,Larva,Diptera
2,06-08-2023,4,C,28404,Midge,Larva,Diptera
2,06-08-2023,5,LE,28501,Midge,Larva,Diptera
2,06-08-2023,6,LE,28601,Alderfly,Larva,Megaloptera
2,06-08-2023,6,LE,28602,Midge,Larva,Diptera
1,06-09-2023,1,RE,19101,None,NA,NA
1,06-09-2023,2,RE,19201,Mayfly,Larva, Ephemeroptera
1,06-09-2023,2,RE,19202,Mayfly,Larva, Ephemeroptera
1,06-09-2023,2,RE,19203,Riffle Beetle,Adult,Coleoptera
1,06-09-2023,3,C,19301,Mayfly,Larva, Ephemeroptera
1,06-09-2023,3,C,19302,Midge,Larva,Diptera
1,06-09-2023,3,C,19303,Leech,Adult,Rhynchobdellids
1,06-09-2023,4,C,19401,Leech,Adult,Rhynchobdellids
1,06-09-2023,4,C,19402,Leech,Adult,Rhynchobdellids
1,06-09-2023,5,LE,19501,Leech,Adult,Rhynchobdellids
1,06-09-2023,6,LE,19601,Mayfly,Larva, Ephemeroptera
1,06-09-2023,6,LE,19602,Cyclops,Adult,Cyclopoida
2,06-09-2023,1,LE,29101,Mayfly,Larva, Ephemeroptera
2,06-09-2023,1,LE,29102,Mayfly,Larva, Ephemeroptera
2,06-09-2023,2,LE,29201,Mayfly,Larva, Ephemeroptera
2,06-09-2023,2,LE,29202,Clam,Adult,Venerida
2,06-09-2023,3,C,29301,None,NA,NA
2,06-09-2023,4,C,29401,Mayfly,Larva, Ephemeroptera
2,06-09-2023,4,C,29402,Mayfly,Larva, Ephemeroptera
2,06-09-2023,4,C,29403,Mayfly,Larva, Ephemeroptera
2,06-09-2023,4,C,29404,Damselfly,Larva,Odonata
2,06-09-2023,5,RE,29501,Mayfly,Larva, Ephemeroptera
2,06-09-2023,5,RE,29502,Mayfly,Larva, Ephemeroptera
2,06-09-2023,5,RE,29503,Midge,Larva,Diptera
2,06-09-2023,6,RE,29601,Mayfly,Larva, Ephemeroptera
2,06-09-2023,6,RE,29602,Mayfly,Larva, Ephemeroptera
2,06-09-2023,6,RE,29603,Mayfly,Larva, Ephemeroptera
2,06-09-2023,6,RE,29604,Midge,Larva,Diptera
2,06-09-2023,6,RE,29605,Cyclops,Adult,Cyclopoida